Id,FkProfileId,Name,BusinessSector,TotalAsset,PercentageOwn,IdField
215636,22,PT Alakasa Extrusindo (AE),Industri Aluminium,13.620.652,99.98999786 %,24
215632,22,Alakasa Company Limited,Perdagangan Bahan Baku,422.385.603,99.98999786 %,24
215633,22,"Indonesia Alakasa Alumina Refinery, Ltd",Perdagangan Bahan Baku,15.719,99.0 %,24
215638,23,,,0,0.0 %,25
215639,24,PT Tirtamas Abadi Berjaya,"Jasa, Pembangunan, dan Perdagangan",913.611.108.625,99.54000092 %,26
215640,25,-,-,0,0.0 %,27
215641,1563,PT Makmur Berkah Amanda Hotel,Perhotelan,201.796.050,87.98999786 %,1137
215642,1564,,,0,0.0 %,1121
215643,26,PT Auto Glass Indonesia,Jasa penggantian dan Perbaikan kaca pengaman kendaraan bermotor,7.009,99.94999695 %,28
215644,27,,,0,0.0 %,817
215648,750,PT Amman Mineral Industri,Industri Pengolahan Logam,530.780,100.0 %,1330
215649,750,PT Amman Mineral Integrasi,"Pertambangan, penyediaan dan pelatihan tenaga kerja dan lainnya",4.736,100.0 %,1330
215650,750,PT Amman Mineral Nusa Tenggara,Pertambangan,6.284.110,99.9999 %,1330
215651,750,PT Amman Nusa Propertindo,"Perusahaan induk, real estat",3.598,100.0 %,1330
