Id,FkProfileId,Name,Role,Independent,IdField
108004,39,"Drs. H. Karsanto, M.B.A.",KOMISARIS,Ya,43
108007,40,Dahnu Teguh Adrianto,KOMISARIS,Ya,44
108006,40,"Henry F. Jusuf, MA",KOMISARIS UTAMA,Tidak,44
108008,41,Gregory Q. Maras,KOMISARIS UTAMA,Tidak,45
108009,41,Pradnando A. Ronoamiseno,KOMISARIS,Ya,45
108010,42,Anika Faisal,KOMISARIS,Tidak,876
108011,42,Teguh Dartanto,KOMISARIS,Ya,876
108012,42,Arief T Surowidjojo,KOMISARIS,Ya,876
108013,42,Jerry Ng,KOMISARIS UTAMA,Tidak,876
108014,43,Shanti L.Poeposoetjipto,PRESIDEN KOMISARIS,Tidak,46
108015,43,Petronius Saragih,KOMISARIS,Tidak,46
108016,43,Chaerul D.Djakman,KOMISARIS,Ya,46
108017,43,Krishna Suparto,KOMISARIS,Ya,46
108018,43,Ronald Waas,KOMISARIS,Ya,46
108019,44,Bustomi Usman,PRESIDEN KOMISARIS,Tidak,47
108020,44,Abdul Salam,KOMISARIS,Ya,47
108021,44,Yugi Prayanto,KOMISARIS,Tidak,47
108022,44,Ratnawati Atmodjo,KOMISARIS,Ya,47
108023,45,Santosa,PRESIDEN KOMISARIS,Tidak,48
108024,45,Gunawan Geniusahardja,KOMISARIS,Tidak,48
108025,45,Arya N. Soemali,KOMISARIS,Ya,48
108026,45,Sidharta Utama,KOMISARIS,Ya,48
108027,4494,Asman,KOMISARIS UTAMA,Tidak,1246
108028,4494,Eko Teguh Santoso,KOMISARIS,Ya,1246
108033,46,Sri Indrastuti Hadiputranto,KOMISARIS,Ya,50
108034,46,Apinont Suchewaboripont,KOMISARIS,Ya,50
108035,46,Bambang Permadi Soemantri Brodjonegoro,KOMISARIS,Ya,50
108036,46,Anthony John Liddell Nightingale,KOMISARIS,Tidak,50
108037,46,Benjamin William Keswick,KOMISARIS,Tidak,50
108038,46,John Raymond Witt,KOMISARIS,Tidak,50
108039,46,Stephen Patrick Gore,KOMISARIS,Tidak,50
108040,46,Benjamin Birks,KOMISARIS,Tidak,50
108032,46,Prijono Sugiarto,PRESIDEN KOMISARIS,Tidak,50
108041,47,Alexander Maha,KOMISARIS UTAMA,Tidak,51
108042,47,Doni P. Gandamihardja,KOMISARIS,Tidak,51
108043,47,Memed Wiramihardja,KOMISARIS,Ya,51
108044,47,Slamet Solikhun,KOMISARIS,Ya,51
108045,2069,Arif Rachmat,PRESIDEN KOMISARIS,Tidak,1228
108046,2069,Drs. Prodjo Sunarjanto Sekar Pantjawati,KOMISARIS,Tidak,1228
108047,2069,Erida,KOMISARIS,Tidak,1228
